Stock Symbol,Full Name,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,News Sentiment,Analyst Data,Financial Data,Price and Metrics,Stock Statistics
DRREDDY,Dr. Reddy's Laboratories,Healthcare,"1,145.00",17.76,0.35,43.49,64.35,"1,092.45","1,421.49",14.74%,2.68%,17.24%,27.48%,1.18,1.92,18.47%,10.32%,19.80%,n/a,0.16,N/A,N/A,,N/A,N/A,N/A,N/A
FORTIS,Fortis Healthcare,Healthcare,694.00,68.61,0.68,68.48,10.18,406.00,744.50,12.03%,38.90%,10.17%,18.87%,0.39,0.45,7.75%,4.45%,71.72%,6.71,0.14,N/A,N/A,,N/A,N/A,N/A,N/A
GLENMARK,Glenmark Pharmaceuticals,Healthcare,"1,538.00",n/a,0.86,65.09,-6.23,959.05,"1,830.95",6.11%,-,-1.26%,21.98%,0.75,1.28,-20.70%,5.36%,88.44%,2.57,0.21,N/A,N/A,,N/A,N/A,N/A,N/A
GRANULES,Granules India,Healthcare,484.00,24.64,0.31,42.00,19.75,389.35,721.00,-1.46%,21.20%,10.74%,21.24%,0.66,1.40,13.38%,7.83%,45.94%,n/a,0.32,N/A,N/A,,N/A,N/A,N/A,N/A
IPCALAB,Ipca Laboratories,Healthcare,"1,508.55",52.25,0.30,64.84,28.74,"1,052.00","1,755.90",21.42%,29.20%,8.36%,18.24%,1.17,2.35,7.67%,5.90%,52.29%,5.68,0.15,N/A,N/A,,N/A,N/A,N/A,N/A
LAURUSLABS,Laurus Labs,Healthcare,611.50,165.71,1.16,59.82,3.70,385.45,646.20,5.85%,6.62%,3.80%,16.44%,0.58,1.23,3.98%,3.08%,40.17%,7.96,0.67,N/A,N/A,,N/A,N/A,N/A,N/A
LUPIN,Lupin,Healthcare,"2,024.00",32.25,0.58,49.11,62.70,"1,493.30","2,402.90",12.94%,60.07%,13.04%,23.14%,0.94,1.58,14.38%,7.39%,78.05%,n/a,0.22,N/A,N/A,,N/A,N/A,N/A,N/A
MANKIND,Mankind Pharma,Healthcare,"2,423.60",47.72,n/a,57.22,50.81,"1,901.05","3,054.80",17.04%,17.96%,17.54%,24.85%,2.02,3.10,22.58%,12.41%,Data not found,9.19,0.04,N/A,N/A,,N/A,N/A,N/A,N/A
MAXHEALTH,Max Healthcare Institute,Healthcare,"1,102.00",105.72,0.28,54.38,10.31,743.10,"1,227.95",25.86%,-4.98%,15.42%,24.93%,1.19,1.37,13.37%,7.21%,64.19%,n/a,0.20,N/A,N/A,,N/A,N/A,N/A,N/A
SUNPHARMA,Sun Pharmaceutical Industries,Healthcare,"1,733.95",36.36,0.55,54.96,47.71,"1,377.20","1,960.35",8.76%,28.59%,22.16%,28.38%,1.82,2.56,15.20%,7.91%,49.78%,6.01,0.04,N/A,N/A,,N/A,N/A,N/A,N/A
SYNGENE,Syngene International,Healthcare,720.20,58.17,0.56,59.16,12.48,607.65,960.60,-0.69%,0.28%,14.16%,28.28%,1.35,1.71,12.95%,6.75%,23.65%,6.64,0.14,N/A,N/A,,N/A,N/A,N/A,N/A
TORNTPHARM,Torrent Pharmaceuticals,Healthcare,"3,221.05",58.78,0.32,59.40,55.03,"2,505.30","3,590.70",7.90%,24.61%,16.48%,32.52%,0.59,1.03,25.38%,10.69%,45.77%,n/a,0.42,N/A,N/A,,N/A,N/A,N/A,N/A
ZYDUSLIFE,Zydus Lifesciences,Healthcare,885.45,19.70,0.47,41.72,45.03,855.10,"1,324.30",16.94%,53.27%,20.39%,27.95%,1.30,2.14,18.90%,10.31%,40.16%,4.08,0.01,N/A,N/A,,N/A,N/A,N/A,N/A
TCS,Tata Consultancy Services,IT,"3,604.00",26.76,0.48,44.48,134.77,"3,457.00","4,592.25",5.55%,9.85%,19.34%,26.10%,2.42,2.62,48.67%,24.50%,7.95%,11.92,0.08,N/A,N/A,,N/A,N/A,N/A,N/A
INFY,Infosys,IT,"1,569.00",23.23,0.62,33.29,67.60,"1,358.35","2,006.45",3.02%,11.25%,17.29%,23.09%,1.85,2.13,33.04%,15.90%,21.94%,7.38,0.09,N/A,N/A,,N/A,N/A,N/A,N/A
HCLTECH,HCL Technologies,IT,"1,591.00",24.89,0.61,45.75,63.97,"1,235.00","2,012.20",5.33%,6.79%,14.71%,20.32%,2.34,2.55,24.92%,13.26%,30.82%,6.18,0.09,N/A,N/A,,N/A,N/A,N/A,N/A
WIPRO,Wipro,IT,262.50,22.11,0.68,36.40,11.83,208.50,324.60,-2.15%,12.52%,13.97%,18.89%,2.71,2.83,15.74%,7.62%,28.34%,n/a,0.23,N/A,N/A,,N/A,N/A,N/A,N/A
TECHM,Tech Mahindra,IT,"1,415.00",33.60,0.39,34.75,42.21,"1,162.95","1,807.70",-0.69%,33.02%,7.14%,11.29%,1.62,1.86,8.63%,4.44%,34.47%,4.75,0.08,N/A,N/A,,N/A,N/A,N/A,N/A
MPHASIS,Mphasis,IT,"2,494.40",28.83,0.75,54.94,86.55,"2,170.25","3,237.95",5.33%,4.87%,11.83%,15.85%,1.47,1.67,18.59%,8.98%,4.43%,n/a,0.20,N/A,N/A,,N/A,N/A,N/A,N/A
PERSISTENT,Persistent Systems,IT,"5,483.85",64.64,0.53,51.59,85.30,"3,232.05","6,788.90",19.17%,27.23%,11.66%,15.41%,1.78,2.20,24.13%,12.24%,75.02%,13.88,0.08,N/A,N/A,,N/A,N/A,N/A,N/A
OFSS,Oracle Financial Services Software,IT,"7,820.00",29.67,0.45,43.98,262.84,"7,022.55","13,220.00",9.22%,6.89%,33.90%,44.56%,5.48,6.11,30.74%,19.61%,203.77%,n/a,0.00,N/A,N/A,,N/A,N/A,N/A,N/A
COFORGE,Coforge,IT,"8,069.95",68.16,0.67,59.90,118.97,"4,287.25","10,027.00",23.91%,6.35%,6.95%,11.76%,1.52,1.70,24.23%,11.91%,66.74%,9.05,0.13,N/A,N/A,,N/A,N/A,N/A,N/A
TATAELXSI,Tata Elxsi,IT,"5,200.45",40.14,0.91,35.93,129.93,"5,157.70","9,080.00",7.09%,1.56%,21.65%,26.40%,5.54,5.69,34.51%,20.14%,-22.41%,n/a,0.08,N/A,N/A,,N/A,N/A,N/A,N/A
